date,stock,bond,btc,rf
2020-11-30,0.1246,0.011202507263835981,0.4777317406819952,0.0001
2020-12-31,0.0462,-0.00017240430447962307,0.14180671257807753,0.0001
2021-01-31,-0.0004,-0.006216353764806781,0.36308750593185835,0.0001
2021-02-28,0.0278,-0.014969678306115064,0.30531110959161056,0.0
2021-03-31,0.0308,-0.014496944269321022,-0.01983502064985121,0.0
2021-04-30,0.0493,0.010253496108049598,-0.35354559593768997,0.0
2021-05-31,0.0029,0.002319877313811558,-0.061394166136132355,0.0
2021-06-30,0.0275,0.007753259686058334,0.18793385485014968,0.0
2021-07-31,0.0127,0.012131304166089985,0.13310109524397706,0.0
2021-08-31,0.0291,-0.0020126228055238338,-0.07157155076874966,0.0
2021-09-30,-0.0437,-0.009057735404921607,0.40026728587587357,0.0
